author_sort,authors,comments,cover,formats,id,identifiers,isbn,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,timestamp,title,title_sort,uuid,#read,#website
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/AROS (57)/cover.jpg","epub","57","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","PediaPress GmbH","","","1.0","1618862","","2015-10-27T16:12:32+10:00","AROS","AROS","09c1743e-de28-4966-a5d0-1b9efa170737","",""
"Bryant, Russell & Meggelen, Jim van","Russell Bryant & Jim van Meggelen","Design a complete Voice over IP (VoIP) or traditional PBX system with Asterisk, even if you have only basic telecommunications knowledge. This bestselling guide makes it easy, with a detailed roadmap that shows you how to install and configure this open source software, whether you’re upgrading your existing phone system or starting from scratch.

Ideal for Linux administrators, developers, and power users, this updated edition shows you how to write a basic dialplan step-by-step, and brings you up to speed on the features in Asterisk 11, the latest long-term support release from Digium. You’ll quickly gain working knowledge to build a simple yet inclusive system.

  * Integrate Asterisk with analog, VoIP, and digital telephony systems
  * Build an interactive dialplan, using best practices for more advanced features
  * Delve into voicemail options, such as storing messages in a database
  * Connect to external services including Google Talk, XMPP, and calendars
  * Incorporate Asterisk features and functions into a relational database to facilitate information sharing
  * Learn how to use Asterisk’s security, call routing, and faxing features
  * Monitor and control your system with the Asterisk Manager Interface (AMI)
  * Plan for expansion by learning tools for building distributed systems

**

### Book Description

The Future of Telephony Is Now 

### About the Author

Russell Bryant is a Principal Software Engineer at Red Hat, where he works on the OpenStack project. Beginning in 2004 Russell spent seven years working for Digium on the Asterisk project. Russell's role at Digium began as a software developer and concluded as being the leader of the Asterisk Project and the Engineering Manager for the team focused on Asterisk development.

Leif Madsen first got involved with the Asterisk community when he was looking for a voice conferencing solution. Once he learned that there was no official Asterisk documentation, he co-founded the Asterisk Documentation Project. Leif is currently working at Thinking Phone Networks, leading the unified communications backend team. You can find out more about him at http://www.leifmadsen.com.

Jim Van Meggelen is President and CTO of Core Telecom Innovations, a Canadian-based provider of open-source telephony solutions. He has over fifteen years of enterprise telecom experience for such companies as Nortel, Williams and Telus, and has extensive knowledge of both legacy and VoIP equipment from manufacturers such as Nortel, Cisco, and Avaya. Jim is one of the principal contributors to the Asterisk Documentation Project, and is co-author of the bestselling O'Reilly book, Asterisk: The Future of Telephony.
","/home/tom/Calibre Library/Russell Bryant/Asterisk_ The Definitive Guide (139)/cover.jpg","epub","139","isbn:9781449332426,amazon:1449332420","9781449332426","eng","Calibre Library","2013-06-10T00:00:00+10:00","O'Reilly Media","3","","1.0","3861732","","2015-10-27T16:12:51+10:00","Asterisk: The Definitive Guide","Asterisk: The Definitive Guide","0c9de4d8-c3c3-4d5d-8f9c-994165432c1b","True",""
"Administrator, Systems","Systems Administrator","","/home/tom/Calibre Library/Systems Administrator/Atlantis.qx (185)/cover.jpg","pdf","185","","","","Calibre Library","2005-04-16T02:36:38+10:00","","","","1.0","14926298","","2016-09-10T16:13:58+10:00","Atlantis.qx","Atlantis.qx","4b359a8e-c681-4b25-9c65-ad7955b0d8f9","",""
"Contributors, The","The Contributors","","/home/tom/Calibre Library/The Contributors/Audio Production (91)/cover.jpg","epub","91","booki.cc:http://booki.flossmanuals.net/audio-production/2011.03.10-07.45","","eng","Calibre Library","2010-12-20T23:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","","1.0","737381","","2015-10-27T16:12:39+10:00","Audio Production","Audio Production","59799ca5-14f3-424e-abcd-d0d68f1371d9","",""
"Feilner, Markus & Graf, Norbert","Markus Feilner & Norbert Graf","This book is an easy introduction to OpenVPN. While providing only necessary theoretical background, it takes a practical approach, presenting plenty of examples. It is written in a friendly style making this complex topic easy and a joy to read. It first covers basic VPN concepts, then moves to introduce basic OpenVPN configurations, before covering advanced uses of OpenVPN. This book is for both experienced and new OpenVPN users. If you are interested in security and privacy in the internet, or want to have your notebook or mobile phone connected safely to the internet, the server in your company, or at home, you will find this book useful. It presumes basic knowledge of Linux, but no knowledge of VPNs is required.

### About the Author

** Markus Feilner **

Markus Feilner is a Linux professional from Regensburg, Germany, and has been working with open-source software since the mid 1990s. His first contact with UNIX was a SUN cluster and SPARC workstations at Regensburg University (during his studies of geography). Since the year 2000, he has published several documents used in Linux training all over Germany. In 2001, he founded his own Linux consulting and training company, Feilner IT **feilner-it.net**. Here and as trainer, consultant, and systems engineer at 

Millenux, Munich, he focused on groupware, collaboration, and virtualization with Linux-based systems and networks. 

Since 2007, he has been an editor at the German Linux-Magazin, where he writes about Open Source Software for both printed and online magazines, including the Linux Technical Review and the Linux Magazine International **linux-magazine.com**. He regularly giese speeches and lectures at conferences in Germany. Security and VPN have never left his focus in his publications. He authored OpenVPN: Building and Integrating Virtual Private Networks in 2006, and Scalix: Linux Administrator's Guide published by Packt in 2008. 

He is interested in anything about geography, travel, photography, philosophy (especially that of open-source software), global politics, soccer, and literature, but always has too little time for these hobbies. 

Markus Feilner supports Linux4afrika - a project bringing Linux computers into African schools. For more information please visit **linux4afrika.de**! 

** Norbert Graf **

Norbert Graf is a professional IT specialist from Munich with many years of experience in network security and server virtualization. His special fields of interests are Linux-based Firewalls, VMware, and XEN Virtualization. 

Since 2002 he has been working as a Consultant for an IT company near Munich, for customers from the healthcare sector like hospitals or pharmaceutical concerns to small companies. 

He made his first experiment with computers with the Commodore C64 learning to program in basic, followed by an x86 processor PC with DOS and Windows. He is still working with Windows and Linux networks everyday. His field of work includes especially integrating Linux Servers like Proxies or OpenVPN Servers in Microsoft Active Directory infrastructures. 

Since 2007 he has published several articles (mostly about Windows and Linux cooperation) together with Markus Feilner in the German and International Linux-Magazine. 

In November 2007 his son Moritz was born and made the whole family very happy. 
","/home/tom/Calibre Library/Markus Feilner/Beginning OpenVPN 2.0.9 (162)/cover.jpg","epub, pdf","162","isbn:9781847197061,amazon:184719706X","9781847197061","eng","Calibre Library","2009-12-02T23:00:00+10:00","Packt Publishing","3","","1.0","8811906","Computers & Technology, Programming, Graphics & Multimedia, Web Development & Design, Web Design, Computer Science","2015-10-27T16:12:42+10:00","Beginning OpenVPN 2.0.9","Beginning OpenVPN 2.0.9","095c3cf2-961e-4f9a-9e06-ac46b114d2b5","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/Benkler Wealth Of Networks (60)/cover.jpg","epub","60","","","eng","Calibre Library","2006-01-27T20:31:26+10:00","","","","1.0","1111715","","2015-10-27T16:12:45+10:00","Benkler Wealth Of Networks","Benkler Wealth Of Networks","edaaed49-5b23-4e26-99f8-470e8304b6ef","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/A Bit History of Internet (52)/cover.jpg","epub","52","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","PediaPress GmbH","","","1.0","102329","","2015-10-27T16:12:48+10:00","A Bit History of Internet","Bit History of Internet, A","c44b55f4-2f40-45a9-b1ac-9dd85b681e92","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/Blender 3D (75)/cover.jpg","epub","75","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","PediaPress GmbH","","","1.0","51803052","","2015-10-27T16:13:44+10:00","Blender 3D","Blender 3D","3bf5fe50-c480-4adb-9070-eef08577371e","",""
"Fisher, Gordon","Gordon Fisher","Learn 3D printing using the free open-source Blender software. This book gives you both an overview and practical instructions, enabling you to learn how to scale, build, color, and detail a model for a 3D printer.

**Overview**

  * Design beautiful, colourful, and practical objects in Blender to print or export 
  * Master Blender's special 3D printing tools to maximize print quality and minimize cost 
  * Consider requirements unique to 3D printing such as structural integrity and stability 

**In Detail**

Like computing, 3D printing has been around for decades but it was expensive and was only used for making complex prototypes. Now, prices have dropped and third-party printing services such as Shapeways have become available, making the technology available to everyone. 

Blender is an open source modeling and animation program popular in the 3D printing community. 3D printing demands more of a modeler than animation or virtual reality. The model maker must engineer their model to work in the real world. They must keep in mind the particular needs of the materials and printers that they are planning to use to print their model. 

This practical guide gives Blender users all the information they need to design high-quality 3D printed objects. With a solid exploration of the 3D modeling process, design considerations for 3D printing, plus step-by-step exercises, you will soon be comfortable making 3D objects for real-world enjoyment. 

Starting with an overview of 3D printing, this guide moves onto to precision measurement, fixing problems in a 3D model, and how to make it light and strong enough for real-world use. 

You will learn how to scale, build, and detail a model for a 3D printer. You will learn to color and decorate it, as well as making parts precisely in the size you want them, so that multi-part objects fit together smoothly. You will also learn tips on saving money when you have printed your model. 

With the help of this guide, you will be able to complete your project and learn how to export the file so it is ready for a variety of 3D printers. 

**What you will learn from this book**

  * Understand how a 3D printer makes a 3D object 
  * Get an introduction to different types of 3D printers 
  * Explore the materials that can be used in a 3D printer 
  * Get to grips with precision modeling techniques in Blender 
  * Use Blender's Ruler/Protractor tool 
  * Unwrap a texture to fit a model 
  * Make a model watertight and manifold 
  * Design an object hollow using the Solidify modifier 
  * Export to STL and X3D files for printing

**Approach**

This book adopts a practical approach, with the use of step-by-step instructions to help guide readers. There are lots of screenshots covering each and every step needed to design a high-quality model in Blender for 3D printing. 

**Who this book is written for**

If you are a Blender user or someone who wants to use Blender to make 3D objects suitable for 3D printing, this book is ideal for you. You should already be comfortable with basic modeling in Blender - including using modifiers - although advanced skills are not required. All of the models that you will need are explored in-depth. This book does not assume that you will use any specific printer and teaches the general principles common to building models for most printers. It also gives you tips on discovering the requirements of the specific printer you will be using. 

**
","/home/tom/Calibre Library/Gordon Fisher/Blender 3D Printing Essentials (82)/cover.jpg","epub, pdf","82","isbn:9781783284597,amazon:1783284595","9781783284597","eng","Calibre Library","2013-11-20T14:00:00+10:00","Packt Publishing","4","","1.0","6268724","","2015-10-27T16:12:54+10:00","Blender 3D Printing Essentials","Blender 3D Printing Essentials","bcb1c331-a994-4692-ac94-367a80d9aa28","True",""
"Bacone, Victor Kuller","Victor Kuller Bacone","","/home/tom/Calibre Library/Victor Kuller Bacone/Blender Game Engine Beginner's Guide (177)/cover.jpg","epub, pdf","177","","","eng","Calibre Library","2012-09-24T15:30:12+10:00","Packt Publishing","","","1.0","10509357","","2016-09-10T16:11:32+10:00","Blender Game Engine Beginner's Guide","Blender Game Engine Beginner's Guide","203aeab6-a063-4c56-9b6b-353f18206b7f","",""
"Bacone, Victor Kuller","Victor Kuller Bacone","The non programmer's guide to creating 3D video games

  * Use Blender to create a complete 3D video game
  * Ideal entry level to game development without the need for coding
  * No programming or scripting required

**In Detail**

Blender Game Engine is the part of the Blender 3D editor used to create actual 3D video games. It's the ideal entry level game development environment because you don't even need to learn to program. Create a complete game using Bender's innovative logic bricks.

""Blender Game Engine: Beginner's Guide"" is the ideal introduction to game development. Using only logic bricks, the reader will create a complete game in Blender. By the end of the book the reader will be able to use their skills to create their own 3D games.

**What will you learn from this book **

  * How to control game characters
  * Setting up a complete game level
  * Creating spawn points for your player character
  * Modify enemy behavior without needing to use scripts
  * Set up collision detection and enemy AI
  * Import freely available 3D game assets for use in your game
  * How to master Blender's logic editor

**Approach**

Create a complete game step by step with no previous experience necessary. Practical tutorials take you through the entire process from beginning to end.

**Who this book is written for**

If you have used Blender before but never got to grips with the Blender Game Engine (BGE), this book is for you. If you have tried and failed with other game development environments, or if scripting is not your strong point, this is where you should start.

**
","/home/tom/Calibre Library/Victor Kuller Bacone/Blender Game Engine_ Beginner's Guide (87)/cover.jpg","epub, pdf","87","isbn:9781849517027,amazon:1849517029","9781849517027","eng","Calibre Library","2012-09-24T00:00:00+10:00","Packt Publishing","3","","1.0","10509357","","2015-12-25T05:15:41+10:00","Blender Game Engine: Beginner's Guide","Blender Game Engine: Beginner's Guide","54878f9c-ad0c-4e12-a1d7-cdf544e73516","",""
"al, Trevor Parsons et","Trevor Parsons et al","","/home/tom/Calibre Library/Trevor Parsons et al/Booktype 1.6 for Authors and Publishers (28)/cover.jpg","epub","28","","","eng","Calibre Library","2013-02-17T23:00:00+10:00","Sourcefabric","","","1.0","3100305","","2015-10-27T16:12:58+10:00","Booktype 1.6 for Authors and Publishers","Booktype 1.6 for Authors and Publishers","a26c3ad1-286f-4906-afff-98e6b829788f","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/Bourne shell scripting (34)/cover.jpg","epub","34","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","PediaPress GmbH","","","1.0","100709","","2015-10-27T16:13:02+10:00","Bourne shell scripting","Bourne shell scripting","fe4b6777-ea04-49ac-86d2-1a264434c640","",""
"Unknown","Unknown","","","epub, pdf","67","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","629550","","2016-07-04T16:23:43+10:00","BourneShellScripting","BourneShellScripting","ba5835e7-789e-48a8-8c6b-c76cc1b2643a","",""
"Unknown","Unknown","","","epub","48","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","1089265","","2016-04-01T16:21:49+10:00","The Boy Who Could Change the World","Boy Who Could Change the World, The","cff4ea16-7c85-4baa-9a81-c172362e1b78","True",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/Building a Beowulf Cluster (64)/cover.jpg","epub","64","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","PediaPress GmbH","","","1.0","23183","","2015-10-27T16:13:10+10:00","Building a Beowulf Cluster","Building a Beowulf Cluster","dab6ee0c-a1f5-4c67-acdb-f7525833a54f","",""
"Boomer, Tad","Tad Boomer","This book is hands-on. As you work through the small business/e-commerce enabled example web site, you will learn how to install, upgrade, configure, and use the various basic features of the e107 Content Management System. The book contains a number of screen shots to reinforce that each step that you perform is correct. This book is primarily for entrepreneurs, small office/home office, small businesses and non-profit agencies who would like to have interactive, business and/or e-commerce web sites at a low cost without sacrificing power or usability. No knowledge of PHP programming, Apache, or MySQL is required. After introducing the fundamental principles of SCM and the benefits of using SCM to manage the software development lifecycle this book uses a real-world case-study project to build a Service-Oriented Application named Orbital Hotel. You will learn the team cooperation features in Visual SourceSafe with the help of John and Mary, two fictional team members assigned to implement various project components. You can visit Orbital Hotel online and you can download its source code.

### About the Author

Theodore (Tad) Boomer was born in August 1956 in Catskill, NY. From an early age he showed a propensity for science and mechanic but also in art and music. When the personal computers became available he knew then that he was going to be working with them in one form or another when he grew up. Since 1985 he has run Connetek Business Technologies, http://www.connetek.com, his own small business technology company specializing in consulting, small business technology assessment, web presence, web design and web hosting with a focus on entrepreneurs, small office/home office, small business, non-profit and small government contracts. His technical knowledge and ability to communicate effectively has garnered him clients from around the world. Tad started writing technical manuals and conducting instruction regarding the use of software while employed with the US military and US federal government and has been a technical reviewer for osCommerce Beginners Edition, osCommerce Professional Edition, Open VPN, cPanel, and MAMBO Beginner's Edition. 
","/home/tom/Calibre Library/Tad Boomer/Building Websites With E107 (134)/cover.jpg","epub","134","isbn:1904811310,amazon:B005D6W63A","1904811310","eng","Calibre Library","2007-02-25T23:00:00+10:00","Packt Publishing","","","1.0","15421227","Computers & Technology, Web Development & Design, Web Design, Web Site Design","2015-10-27T16:13:05+10:00","Building Websites With E107","Building Websites With E107","65a960d4-946b-4053-a026-b48555b4ba3b","",""
"Faludi, Robert","Robert Faludi","Get ready to create distributed sensor systems and intelligent interactive devices using the ZigBee wireless networking protocol and Series 2 XBee radios. By the time you're halfway through this fast-paced, hands-on guide, you'll have built a series of useful projects, including a complete ZigBee wireless network that delivers remotely sensed data.

Radio networking is creating revolutions in volcano monitoring, performance art, clean energy, and consumer electronics. As you follow the examples in each chapter, you'll learn how to tackle inspiring projects of your own. This practical guide is ideal for inventors, hackers, crafters, students, hobbyists, and scientists.

  * Investigate an assortment of practical and intriguing project ideas
  * Prep your ZigBee toolbox with an extensive shopping list of parts and programs
  * Create a simple, working ZigBee network with XBee radios in less than two hours -- for under $100
  * Use the Arduino open source electronics prototyping platform to build a series of increasingly complex projects
  * Get familiar with XBee's API mode for creating sensor networks
  * Build fully scalable sensing and actuation systems with inexpensive components
  * Learn about power management, source routing, and other XBee technical nuances
  * Make gateways that connect with neighboring networks, including the Internet

**

### Book Description

A Practical Guide to the ZigBee Mesh Networking Protocol 

### About the Author

Robert Faludi is an NYU Professor, SVA professor, and an expert consultant on commercial projects, including large-scale home energy monitoring. His work has appeared in The New York Times, CNet, Good Morning America, and elsewhere. He is a co-creator of the LilyPad XBee wearable radios, and Botanicalls, a system that allows thirsty plants to place phone calls for human help.
","/home/tom/Calibre Library/Robert Faludi/Building Wireless Sensor Networks_ With ZigBee, XBee, Arduino, and Processing (111)/cover.jpg","epub","111","google:xMC69vQJLZIC,isbn:9781449302740,amazon:0596807732","9781449302740","eng","Calibre Library","2010-12-13T23:00:00+10:00","O'Reilly Media","4","","1.0","9664805","Computers, Networking, Network Protocols, Hardware, General, Data Transmission Systems, Wireless, COMPUTERS / Data Transmission Systems / Wireless","2015-10-27T16:13:15+10:00","Building Wireless Sensor Networks: With ZigBee, XBee, Arduino, and Processing","Building Wireless Sensor Networks: With ZigBee, XBee, Arduino, and Processing","99c855a2-b4c5-44e6-8a5d-4a0ec001c622","True",""
"Schember, John","John Schember","","/home/tom/Calibre Library/John Schember/Calibre Quick Start Guide (131)/cover.jpg","epub","131","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","129014","","2014-05-09T18:57:12+10:00","Calibre Quick Start Guide","Calibre Quick Start Guide","42a2de7a-5a81-4ebd-bbc6-92a6adf78321","",""
"v1.2","v1.2","","/home/tom/Calibre Library/v1.2/Campaign Guide (25)/cover.jpg","pdf","25","","","eng","Calibre Library","2005-03-02T09:35:24+10:00","VBAM games","","","1.0","4037862","","2015-12-22T04:48:31+10:00","Campaign Guide","Campaign Guide","203c9a11-1a2e-43ed-a72f-eff329a1a403","",""
"Administrator","Administrator","","/home/tom/Calibre Library/Administrator/Campaign Moderator's Companion (20)/cover.jpg","doc, pdf","20","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","VBAM games","","","1.0","11492052","cc_3","2015-12-22T04:51:21+10:00","Campaign Moderator’s Companion","Campaign Moderator’s Companion","959c723d-5853-46b6-aa5c-4fde551be342","",""
"Administrator","Administrator","","/home/tom/Calibre Library/Administrator/Campaign Moderator's Companion_ Sample Artifacts (21)/cover.jpg","pdf","21","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","VBAM games","","","1.0","221766","cc_3","2015-12-22T04:51:39+10:00","Campaign Moderator’s Companion: Sample Artifacts","Campaign Moderator’s Companion: Sample Artifacts","de7dc009-958b-4286-a380-f621bc6161ef","",""
"Engström & Falkvinge","Engström & Falkvinge","","/home/tom/Calibre Library/Engstrom/The Case for Copyright Reform (161)/cover.jpg","epub","161","","","eng","Calibre Library","2012-04-24T02:30:24+10:00","","","","1.0","919165","","2015-10-27T16:13:21+10:00","The Case for Copyright Reform","Case for Copyright Reform, The","6c5e3737-6684-4999-a1d3-69a716698223","True",""
"Administrator","Administrator","","/home/tom/Calibre Library/Administrator/cc_3 (170)/cover.jpg","pdf","170","","","","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","702407","cc_3","2016-09-10T16:07:50+10:00","cc_3","cc_3","9e454536-b8de-41e1-b088-0690d02f8d17","",""
"Bladon, Bryce","Bryce Bladon","A cult phenomenon among those who work in graphic, print and web design, Clients From Hell brings readers to tears with unbelievable and always hilarious anecdotes from those on the frontlines of the freelancing industry.","/home/tom/Calibre Library/Bryce Bladon/Clients From Hell 2 - A collection of anonymously-contributed client horror stories (157)/cover.jpg","epub","157","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","252942","horror, comedy, humor, funny, humour, design, designer, freelancing, creative, freelance, anecdote, clients, clients from hell","2015-10-27T16:13:26+10:00","Clients From Hell 2 - A collection of anonymously-contributed client horror stories","Clients From Hell 2 - A collection of anonymously-contributed client horror stories","bfc85066-9364-4341-b9c5-036c2f83eb0a","True",""
"Verens, Kae","Kae Verens","This is a practical, tutorial-style book that develops a project from start to finish, explaining all aspects of the project. Every chapter starts by explaining what is to be accomplished and the various ways in which the problem may be tackled, followed by an in-depth explanation of the chosen solution. If you want to see jQuery in action with PHP and MySQL code, in the context of a real application, this is the book for you. It is written for developers who have written multiple scripts or websites, and want to know how to combine them all into one package that can be used to simplify future scripts and sites. The book is aimed at people who understand the basics of PHP and jQuery, and want to know how they can be used effectively to create a large project that is user-friendly and flexible.

**

### Review

""Overall this book is a great resource for amateur web programmers or for anyone that wants to crack down and learn how to make a CMS. Kae Verens and the publishers at Packt Publishing did an excellent job at putting CMS Design Using PHP and jQuery together.""- Cody Sparks --www.webhostdesignpost.com/website/cmsdesignusingphpandjqueryreview.html 

""I recommend the book to those who want to make your own CMS. You will find many clever and cunning ways of coding and learn new things."" - Shinichi Okada --www.okadadesign.no/blog/books/book-review-cms-design-using-php-and-jquery/ 
","/home/tom/Calibre Library/Kae Verens/CMS Design Using PHP and jQuery (4)/cover.jpg","epub, pdf","4","isbn:9781849512527,amazon:1849512523","9781849512527","eng","Calibre Library","2010-12-08T23:00:00+10:00","Packt Publishing","3","","1.0","9139733","","2015-10-27T16:13:30+10:00","CMS Design Using PHP and jQuery","CMS Design Using PHP and jQuery","80f96425-c223-4680-b0dd-9cda6b8d6690","",""
